InputID,TargetID,Distance
n51130604,"0",65704.8424315165
n51130604,"1",65704.8424315165
n51281839,"0",65698.1307788867
n51281839,"1",65698.1307788867
n60327890,"0",57195.2150901783
n60327890,"1",57195.2150901783
n88477591,"0",95382.3840815065
n88477591,"1",95382.3840815065
n88532502,"0",79771.5556680548
n88532502,"1",79771.5556680548
n151352266,"0",28631.9027915289
n151352266,"1",28631.9027915289
n151363387,"1",125388.18974568
n151363387,"0",125388.18974568
n151412991,"0",57814.266354824
n151412991,"1",57814.266354824
n151437230,"0",80666.0127806224
n151437230,"1",80666.0127806224
n151450293,"0",80345.7949101825
n151450293,"1",80345.7949101825
n151465650,"0",63086.9799623645
n151465650,"1",63086.9799623645
n151493378,"0",49570.2302512359
n151493378,"1",49570.2302512359
n151596521,"0",70556.4811710594
n151596521,"1",70556.4811710594
n151664104,"0",110477.458537642
n151664104,"1",110477.458537642
n151684091,"1",61531.3313759225
n151684091,"0",61531.3313759225
n151684091,"0",61531.3313759225
n151684091,"1",61531.3313759225
n151730737,"0",57492.4102421491
n151730737,"1",57492.4102421491
n151744721,"0",75385.2397385482
n151744721,"1",75385.2397385482
n151756189,"0",64024.2686548893
n151756189,"1",64024.2686548893
n151776380,"1",180232.88337337
n151776380,"0",180232.88337337
n151809141,"1",78512.1927553547
n151809141,"0",78512.1927553547
n151814691,"0",62446.3864178023
n151814691,"1",62446.3864178023
n151913918,"0",71321.5549538679
n151913918,"1",71321.5549538679
n151932773,"0",31589.51727387
n151932773,"1",31589.51727387
n175869822,"0",70785.0567981811
n175869822,"1",70785.0567981811
n175897814,"0",69327.0624359228
n175897814,"1",69327.0624359228
n175942218,"0",67677.1793319222
n175942218,"1",67677.1793319222
n175990518,"0",64372.2899657624
n175990518,"1",64372.2899657624
n175999644,"0",57083.4420738706
n175999644,"1",57083.4420738706
n176032585,"0",70049.1391735296
n176032585,"1",70049.1391735296
n176127115,"0",70704.5676493727
n176127115,"1",70704.5676493727
n176175547,"0",86196.3662183229
n176175547,"1",86196.3662183229
n176176028,"0",77842.5789997217
n176176028,"1",77842.5789997217
n176271498,"0",90524.679669596
n176271498,"1",90524.679669596
n177628296,"0",28607.1361318275
n177628296,"1",28607.1361318275
n373894025,"0",71450.1178097469
n373894025,"1",71450.1178097469
n373902428,"0",69267.7080461426
